,Label,Sentence,feature_enti_num,feature_fresq,feature_pos,feature_senti_num,feature_sentiment,feature_slen
0,0,找到d座电梯上去很好找的,1,0,5,0,0,8
1,1,装修很雅致,0,0,4,1,2,3
2,0,鸳鸯锅不错,1,2,7,1,2,2
3,0,糖心蛋做的恰到好处,2,10 16,0,1,2,5
4,1,水果很新鲜品种多,3,8 11,0,1,2,5
5,1,面包松软配上流心的蛋黄恰到好处,3,10,7,2,2,8
6,0,服务态度很好,1,7 14,4,1,2,3
7,1,装奶盖的盒子别具一格,2,0,0,1,2,5
8,0,烧烤芝士蛋饼很好吃,2,0,5,1,2,5
9,0,效果服务一如既往的好,1,1 13,0,2,2,5
10,1,烤布蕾让面包底儿变得嫩,3,0,0,1,1,6
11,0,换了很多新的设备,0,0,0,1,2,6
12,0,新的商场装修不错,1,2,3,2,2,5
13,0,抹茶味苦和红豆的微甜搭配起来还不错,3,2 17,4,2,2,11
14,0,挑的眼花缭乱,0,0,0,1,2,3
15,1,烤鸭的酥嫩程度特别的恰到好处,2,10 16,2,3,0,8
16,0,果断选择大气泡,1,0,2 5,2,2,4
17,0,酸菜鱼都不错,1,2,4,1,2,3
18,0,接待的店员很详细地介绍了要注意的事项,2,0,4,3,2,12
19,0,辛拉面味道不错,3,2 5,7,2,0,4
20,1,萝卜条做的特别爽脆,1,0,4,0,0,6
21,0,日式拉面人均,2,0,0,0,0,3
22,1,三文鱼很厚很大很鲜美,1,0,1 4 4,2,2,6
23,1,装修古色古香很有中国风味,3,4,5,1,2,6
24,0,完爆中午吃的农家乐,1,0,0,0,0,5
25,0,图书大厦算是庄里数一数二的书店了,3,0,0,1,2,7
26,0,成都果然是一个消费过高,1,0,5,1,2,6
27,0,米饭蒸的不错,1,2,0,1,2,4
28,0,味道非常不错,1,2,4,1,2,3
29,1,汤粉中的牛肉很棒,2,0,7,1,2,5
30,0,环境很不错,1,2 6,4,1,2,3
31,0,团了代金券,2,0,0,0,0,3
32,1,抹茶粉恰到好处,1,10,0,1,2,3
33,1,五花肉烤的恰到好处,1,10 15 16,0,1,2,4
34,1,芝士放得恰到好处,1,9 10,0,1,2,4
35,0,感觉很凉快,1,0,4,0,0,3
36,1,印象深刻的是日式豆腐,3,0,0,2,2,6
37,0,标准家常菜,2,0,0,1,2,2
38,0,免费豆浆和疑似盖浇饭送的汤淡了点,3,0,7,2,2,10
39,0,手机充电的地方很合理,2,0,5,1,2,6
40,0,环境一如既往的好,1,1,0,2,2,4
41,1,泳池特别干净,1,0,4,1,2,3
42,1,裹烧饼吃或者蘸豆浆吃都好棒,2,0,1 4,2,2,10
43,0,小火锅的形式不错,2,2,7,1,2,4
44,1,让多人吃上地道的哈萨克特色美食,4,0,0,2,2,9
45,0,很小的一家店,1,0,0,0,0,4
46,0,手艺确实不错哦,1,2,1 7,2,2,4
47,0,味道一如既往的好,1,1,0,2,2,4
48,0,牛肉煮的时候要恰到好处,2,10,0,2,2,6
49,1,人多聚会挺合适的,2,0,4,1,2,5
50,0,希望外卖小哥下次可以机智一点,2,0,0,2,2,7
51,0,味道和入口的口感都是非常不错的,3,2 3,4 5,3,2,10
52,0,赏心悦目嘛,0,0,0,1,2,2
53,0,觉得甜品颜值颇高,2,0,4,1,2,5
54,1,龙利鱼煎的恰到好处,1,10 16,0,1,2,4
55,0,咖啡还不错,1,2 17,4,1,2,3
56,0,服务态度特别好,1,14,4,1,2,3
57,0,售票处大厅有很大的等待区,2,0,0,0,0,7
58,0,鸡和咕噜肉的味道调得不错,3,2,0,3,2,9
59,0,米饭煮熟了不错的,1,2 3,0,1,2,5
60,1,毛血旺料足味道好,2,0,7,1,2,4
61,0,菜品的味道都很好,2,7,4 6,1,2,6
62,1,自助调料很丰盛,1,0,4,0,0,4
63,1,汤做的恰到好处,1,10 16,0,1,2,4
64,0,盘龙峡是以漂流和薰衣草园闻名的,1,0,5,3,2,10
65,0,可以选一杯软饮和一块蛋糕,2,0,0,1,2,7
66,0,小哥送上门来特别热乎的,1,0,0,1,2,6
67,0,宝宝很欢乐,1,0,4,1,2,3
68,1,鲍鱼很新鲜,2,8 11,0,1,2,3
69,0,菜品很好吃,1,0,5,1,2,3
70,1,龙虾烹调得恰到好处,1,9 10,0,1,2,4
71,0,菌类拼盘种类多,2,0,0,0,0,4
72,0,味道一如既往的好,1,1,0,2,2,4
73,0,鳗鱼很新鲜,2,8 11,0,1,2,3
74,1,环境古色古香很北京,3,4,0,1,2,4
75,1,三文鱼刺身很鲜美,1,0,4,1,2,4
76,0,孩子学了快两年进步和很大,1,0,0,3,2,8
77,0,算是目前南京最好吃的数一数二了,1,12,5,2,2,8
78,0,肉串和筋子不错,2,2,7,2,2,4
79,0,面包以软欧口味的居多,3,0,2,0,0,5
80,0,开始是看到爱豆弹吉他好帅,3,0,0,1,2,6
81,1,天津少有的高性价比南方菜,2,0,0,0,0,6
82,0,土豆泥略甜腻,1,0,4,1,2,3
83,1,背景音乐香薰精油都恰到好处,3,10,0,1,2,5
84,0,牛肉的品质不错的,2,2 3,7,1,2,5
85,0,糖醋排骨与鸡都还不错,1,2 17,4 6,1,2,6
86,0,让人有种流连忘返,1,0,0,1,2,4
87,0,鸡翅味道不错,2,2 5,7,1,2,3
88,1,装修风格淡雅文艺,2,0,0,1,2,4
89,0,蒸的恰到好处,0,10 16,0,1,2,3
90,0,沙拉味道不错,2,2 5,7,1,2,3
91,1,三文鱼火候掌握的恰到好处,2,10 16,0,1,2,5
92,0,吃的是典型西餐,2,0,0,2,2,5
93,0,获得两杯奶缇饮品免费品尝机会,3,0,0,1,2,8
94,1,盐水鹅的味道恰到好处,3,10,0,1,2,5
95,1,海鲜很新鲜,2,8 11,0,1,2,3
96,0,服务态度很好,1,7 14,4,1,2,3
97,0,看的眼花缭乱,0,0,0,1,2,3
98,0,茶的种类多,2,0,0,0,0,4
99,0,多的是老板与客人的谈天说地,2,0,0,1,2,8
100,0,喜欢火锅爱吃烤鸭的亲们,3,0,0,2,2,7
101,0,泡菜肥肠不错,2,2,7,1,2,3
102,1,平遥的人都很和蔼可亲,2,0,3,1,2,6
103,0,洗澡在隐秘一些,0,0,0,1,1,4
104,0,辣的恰到好处,0,10 16,0,2,0,3
105,1,猪颈肉是孩子们的最爱,4,12,0,2,2,7
106,1,鹅肝煎的恰到好处,2,10 16,0,1,2,5
107,0,餐厅环境不错,2,2,7,1,2,3
108,0,干锅千叶豆腐不错,2,2,7,1,2,4
109,0,朋友唱的很开心,1,0,0,1,2,5
110,1,辣椒放的恰到好处,1,10 16,0,1,2,4
111,0,自助atm机分布很广,1,0,4,0,0,5
112,0,新开的商场里,1,0,0,0,0,4
113,0,能喝凉的了再点红茶冰淇淋试试,2,0,0,2,0,9
114,0,环境服务技术都特别的好,2,13,0,1,2,7
115,1,年糕很软糯,2,0,2 4,0,0,3
116,0,选片环节超级头疼超级纠结,2,0,0,2,2,6
117,0,拉皮还不错,0,2 17,4,1,2,3
118,0,地方真的好大,1,0,1 4,0,0,3
119,1,小碗牛肉软烂,1,0,0,1,2,4
120,1,爆肚焯水火候恰到好处,2,10,0,1,2,5
121,1,牛排肉和护心肉烤出来都很嫩,3,15,4,3,1,9
122,0,是一个很舒适的就餐环境晚上六点多来的,1,0,4,2,2,11
123,0,上海的网红书店,3,0,0,0,0,4
124,0,金枪鱼披萨有点软,3,0,7,1,2,4
125,0,宝宝去的时候牛尾和牛鞭已经售空了,4,0,5,1,2,10
126,0,服务态度很好,1,7 14,4,1,2,3
127,0,前台贴满了邓丽君的海报,3,0,0,0,0,6
128,1,餐厅的菜一如既往的好吃实惠,2,0,0,3,2,7
129,0,感觉非常好,1,0,4,1,2,3
130,0,味道一如既往的好,1,1,0,2,2,4
131,0,性价比高莫吉托,2,0,2 7,0,0,2
132,0,辣的恰到好处,0,10 16,0,2,0,3
133,0,酱汁配合的恰到好处,1,10 16,0,1,2,4
134,0,服务态度特别好,1,14,4,1,2,3
135,0,据说海鲜不错,1,2,7,1,2,3
136,1,恰到好处豆皮寿司上加了罐头金枪鱼和虾子,5,10,0,2,2,9
137,0,味道特别好,1,0,4,1,2,3
138,0,水果米饭免费赠送,2,0,0,1,2,4
139,0,店里环境非常好,2,0,4,1,2,4
140,1,三文鱼好新鲜,2,11,2 7,2,2,3
141,0,虾馄纯虾饺等不错,3,2,0,1,2,5
142,0,日月光拥挤,1,0,0,1,1,3
143,0,东西很好吃,1,0,5,1,2,3
144,0,小妖真的好吃,1,0,5,1,2,3
145,0,整道汤感觉偏甜了,2,0,4,0,0,5
146,1,红糖糍粑很美味,3,0,0,1,2,4
147,1,鱿鱼本身是鲜的恰到好处的q,1,10 16,0,3,2,8
148,1,海鲜特别新鲜,2,11,0,1,2,3
149,1,泰式椒麻鸡酸辣的口感恰到好处,4,10,0,1,2,7
150,0,肥腻的口感铁板牛肉味道不错,4,2 5,3 7,1,2,7
151,0,鱼生的熟成恰到好处,1,10,0,1,2,4
152,1,拌鸭肠是一绝,2,0,0,1,2,4
153,0,只能多吃米饭了,1,0,0,0,0,5
154,1,西冷牛排烤得五分熟恰到好处,2,10 15,0,2,2,7
155,0,牛百叶烫的恰到好处有些辣,3,10 16,0,3,1,7
156,0,咖啡的口感还不错,2,2 17,4,1,2,5
157,1,大虾做的恰到好处,1,10 16,0,1,2,4
158,0,味道口感一如既往的好,2,1,0,2,2,5
159,0,红烧肉孩子爱吃,2,0,0,1,2,4
160,1,椰汁糕做的很入味,2,0,0,1,2,6
161,0,热柠檬红茶,3,0,0,1,2,3
162,1,泥鳅上来的时候活蹦乱跳的很新鲜,3,8 11,2,1,2,8
163,0,青岛路上新开的饮品店,3,0,0,0,0,6
164,0,牛仔骨不错,2,2,7,1,2,3
165,0,瑜伽馆环境不错,3,2,7,1,2,4
166,0,面一如既往的好吃,1,0,0,2,2,4
167,0,环境非常不错,1,2,4,1,2,3
168,0,海鲜粥牛肉丸不错,3,2,7,1,2,4
169,1,肥牛卷好吃牛肉烤的恰到好处,2,10 15 16,0,2,2,7
170,1,汉口里古色古香的风格很美,4,4,0,2,2,7
171,0,精品毛血旺食材品种多,4,0,0,0,0,5
172,1,牛肉炖的恰到好处,1,10 16,0,1,2,4
173,0,芝麻酱还不错荤菜,2,2 17,2 4,1,2,4
174,0,是来自台湾非常和蔼可亲的大叔,3,0,0,2,2,7
175,0,东西非常好吃,1,0,5,1,2,3
176,0,菜品一如既往的好,1,1,0,2,2,4
177,0,小笼包无功无过,1,0,7,0,0,3
178,0,鱼的味道不错,2,2 5,7,1,2,4
179,1,三文鱼很棒,1,0,7,0,0,2
